RespondentID,Race,Gender,Age,EducationLevel,EmployementType,PostalCode,Experience,JobTitle,SeniorityLevel,Salary,PromotionStatus,BonusStatus,Industry,EmployeeCount,JobPerformance,IsCompensation,IsGrowth,IsFairness,IsBenefits,IsGrowthOpportunities
11542009435,Indian,Female,35-44,Bachelor's Degree,Full Time Employee,36223,Five to ten years,Data Analytics Specialist,Senior level,"$50,000 to $59,999",Yes,Yes,Insurance,50 to 250 Employees,Strongly agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree
11526400319,Hispanic/Latino,Females,45-54,Bachelor's Degree,Full Time Employee,90640,Ten years or more,Teacher,Tenure,"$90,000 to $99,999",No,No,Education,"250 to 1,000 Employees",Agree,Agree,Agree,Disagree,Agree,Agree
11525731983,Hispanic/Latino,Male,35-44,Some College,Full Time Employee,90716,Ten years or more,Senior Project Lead,Mid level,"$100,000 to $149,999",Yes,Yes,Entertainment & Leisure,"More than 10,000 Employees",Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree
11523730380,Black/African American,Female,45-54,Associate's Degree,Full Time Employee,90017,Less than one year,Credentials & Contract Supervisor,Senior level,"$60,000 to $69,999",Yes,No,Education,"More than 10,000 Employees",Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree
11523588583,Hispanic/Latino,Female,45-54,Master's Degree or Higher,Full Time Employee,90255,One to five years,Assistant principal,Senior level,"$70,000 to $79,999",Yes,,Education,"More than 10,000 Employees",Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree
11522617323,Hispanic/Latino,Femalr,45-54,Bachelor's Degree,Full Time Employee,92392,Five to ten years,Case manager,Senior level,"$90,000 to $99,999",No Answer,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",,,,,,
11522426288,Hispanic/Latino,Female,45-54,Associate's Degree,Full Time Employee,90033,Ten years or more,Eligibility Worker,Unknown,"$40,000 to $49,999",Yes,No,Social/Public Services,"1,000 to 10,000 Employees",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree
11522295831,Hispanic/Latino,Female,45-54,Master's Degree or Higher,Full Time Employee,90063,Ten years or more,High school counselor,Senior level,"$90,000 to $99,999",Yes,Yes,Education,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
11522262326,Hispanic/Latino,Female,45-54,Master's Degree or Higher,Full Time Employee,20109,Five to ten years,Administrative Officer,Mid level,"$100,000 to $149,999",Yes,Yes,Government,Less than 50 Employees,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree
11521976824,Hispanic/Latino,Female,45-54,Master's Degree or Higher,Full Time Employee,90033,Ten years or more,Elementary Teacher,Senior level,"$70,000 to $79,999",Yes,No,Education,"More than 10,000 Employees",Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree
11521865889,Hispanic/Latino,M,35-44,Associate's Degree,Full Time Employee,90045,One to five years,Electrician Apprentice,Mid level,"$60,000 to $69,999",Yes,Yes,Information Technology and Services,50 to 250 Employees,Agree,Agree,Agree,Agree,Agree,Agree
11521644734,White,Male,65+,Master's Degree or Higher,Self Employed/Entrepreneur,35226,One to five years,Data Analyst,Mid level,"$50,000 to $59,999",No,No,Business Support & Logistics,50 to 250 Employees,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
11520848574,Black/African American,Female,45-54,Some College,Full Time Employee,35210,Five to ten years,Paraprofessional,Assistant to teachers,"$20,000 to $29,999",No,Yes,Education,,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree
11520517532,Black/African American,Female,35-44,Master's Degree or Higher,Full Time Employee,35205,One to five years,Environmental Health and Safety Program Coordinator,Mid level,"$50,000 to $59,999",Yes,Yes,Research and Development,"250 to 1,000 Employees",Strongly agree,Agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree
11520502263,Black/African American,Female,25-34,Bachelor's Degree,Full Time Employee,35203,One to five years,Social Work Case Manager,Mid level,"$30,000 to $39,999",Yes,Yes,Nonprofit,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11520500574,Black/African American,Female,35-44,Bachelor's Degree,Full Time Employee,35233,Less than one year,Diversity Recruiter,Mid level,"$60,000 to $69,999",Yes,Yes,Finance & Financial Services,"More than 10,000 Employees",Agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree
11520072159,White,Male,45-54,Associate's Degree,Full Time Employee,35243,One to five years,IT Director,Senior level,Prefer not to answer,Yes,Yes,Healthcare & Pharmaceuticals,"250 to 1,000 Employees",Strongly agree,Agree,Agree,Agree,Agree,Strongly agree
11519973856,White,Female,25-34,Bachelor's Degree,Long Term Contract Employee,35222,Less than one year,Business Analyst,Mid level,"$70,000 to $79,999",No,No,Finance & Financial Services,"More than 10,000 Employees",Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree
11518237980,White,female,65+,Master's Degree or Higher,Self Employed/Entrepreneur,35203,Ten years or more,attorney,self employed,Other (please specify),No,No,Legal Services,Less than 50 Employees,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11514441146,White,Female,35-44,Master's Degree or Higher,Full Time Employee,60563,One to five years,Sales Account Manager,Mid level,"$90,000 to $99,999",No,No,Entertainment & Leisure,"1,000 to 10,000 Employees",Agree,Agree,Disagree,Neither agree nor disagree,Agree,Somewhat disagree
11513750307,White,male,25-34,Some College,Full Time Employee,35205,One to five years,admin,Senior level,"$70,000 to $79,999",No,No,Business Support & Logistics,Less than 50 Employees,,,,,,
11513316125,Hispanic/Latino,Male,25-34,Bachelor's Degree,Full Time Employee,35243,One to five years,Data Analyst,Entry level,"$50,000 to $59,999",No,Yes,Insurance,"250 to 1,000 Employees",Strongly agree,Strongly agree,Agree,Agree,Agree,Agree
11513044509,White,Technically female,25-34,Associate's Degree,Part Time Employee,35205,One to five years,Cashier,Entry level,"$10,000 to $19,999",No,No,Food & Beverages,50 to 250 Employees,Strongly disagree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree
11503142571,White,Female,35-44,Bachelor's Degree,Full Time Employee,35243,One to five years,Financial Advisor,"It can be all of the above. Prior to entering into partnership, I was First VP","$150,000 or more",Yes,Yes,Finance & Financial Services,"More than 10,000 Employees",Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree
11500282496,White,Male,45-54,Some College,Full Time Employee,35405,Less than one year,Area Specifications Representative,Mid level,"$90,000 to $99,999",No Answer,Yes,"Construction, Machinery, and Homes",50 to 250 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11500085906,White,Female,25-34,Bachelor's Degree,Full Time Employee,35203,One to five years,Manager,Senior level,"$100,000 to $149,999",Yes,Yes,Information Technology and Services,"1,000 to 10,000 Employees",Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
11499362462,White,Male,45-54,Master's Degree or Higher,Full Time Employee,77581,Five to ten years,Client Services Director,Entry level,"$40,000 to $49,999",No,Yes,Legal Services,Less than 50 Employees,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11498755070,White,Male,35-44,Bachelor's Degree,Full Time Employee,78109,One to five years,Business Development Engineer,Senior level,"$150,000 or more",No,Yes,"Construction, Machinery, and Homes","250 to 1,000 Employees",Somewhat agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree
11498708783,White,Female,35-44,Bachelor's Degree,Full Time Employee,35211,One to five years,Donor Relation Manager,Mid level,"$50,000 to $59,999",Yes,Yes,Nonprofit,50 to 250 Employees,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree
11498656435,White,male,55-64,Master's Degree or Higher,Full Time Employee,78229,One to five years,Management Analyst,Mid level,"$50,000 to $59,999",Yes,Yes,Healthcare & Pharmaceuticals,"More than 10,000 Employees",Somewhat agree,Disagree,Somewhat agree,Disagree,Agree,Somewhat disagree
11497323211,Asian,Female,35-44,Master's Degree or Higher,Full Time Employee,10279,One to five years,Senior designer,Mid level,"$60,000 to $69,999",Yes,No,"Construction, Machinery, and Homes","1,000 to 10,000 Employees",Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
11496407885,White,Male,25-34,Bachelor's Degree,Full Time Employee,36830,Less than one year,Purchasing Specialst,Entry level,"$40,000 to $49,999",No,No,Automotive,50 to 250 Employees,Somewhat agree,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree
11490385339,Black/African American,Man,35-44,Vocational/Technical School,Full Time Employee,35422,Less than one year,Kitchen Manager,Senior level,"$40,000 to $49,999",Yes,Yes,Food & Beverages,50 to 250 Employees,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11490359033,Black/African American,Female,18-24,High School Diploma/GED,Full Time Employee,35901,One to five years,Crew Member,Mid level,"Less than $10,000",No,No,Food & Beverages,50 to 250 Employees,Disagree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree,Agree
11488220188,White,Male,35-44,Bachelor's Degree,Full Time Employee,35217,Five to ten years,Marketing Manager,Senior level,Prefer not to answer,Yes,Yes,Finance & Financial Services,"250 to 1,000 Employees",Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Strongly agree
11487981801,Black/African American,Male,25-34,Some College,Full Time Employee,35022,Less than one year,Assembly,Entry level,,No Answer,,,,,,,,,
11487702121,Black/African American,Man,25-34,Master's Degree or Higher,Full Time Employee,35217,Less than one year,Quality Engineer,Mid level,"$80,000 to $89,999",No Answer,,Manufacturing,"1,000 to 10,000 Employees",Strongly agree,Agree,Strongly agree,Agree,Agree,Agree
11486480185,Black/African American,Female,35-44,Bachelor's Degree,Full Time Employee,33431,One to five years,Construction Manager,Senior level,"$80,000 to $89,999",Yes,Yes,Manufacturing,"250 to 1,000 Employees",Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
11485460652,Black/African American,Male,25-34,Vocational/Technical School,Full Time Employee,35244,Five to ten years,Wire tech,Entry level,"$50,000 to $59,999",No,Yes,"Telecommunications, Technology, Internet & Electronics","1,000 to 10,000 Employees",Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Agree
11481298745,Black/African American,Female,25-34,Some College,Full Time Employee,36832,One to five years,Operator II,Senior level,"$60,000 to $69,999",No Answer,Yes,Manufacturing,"250 to 1,000 Employees",Strongly agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree
11481197184,Multiracial/Multiethnic,Female,25-34,Some College,Part Time Employee,35223,Less than one year,Server,Entry level,"$20,000 to $29,999",No,No,Food & Beverages,Less than 50 Employees,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree
11480472205,White,Male,18-24,High School Diploma/GED,Full Time Employee,35022,One to five years,Pest control technician,Mid level,"$40,000 to $49,999",Yes,No,Extermination,"1,000 to 10,000 Employees",Agree,Agree,Strongly agree,Agree,Agree,Agree
11480172045,White,Male,45-54,Bachelor's Degree,Full Time Employee,35203,One to five years,Compliance Officer,Senior level,"$70,000 to $79,999",Yes,No,Finance & Financial Services,"250 to 1,000 Employees",Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree
11479853965,White,Male,25-34,Bachelor's Degree,Full Time Employee,28031,Less than one year,National Account Manager,Mid level,"$100,000 to $149,999",Yes,Yes,Retail & Consumer Durables,"More than 10,000 Employees",Agree,Agree,Agree,Agree,Agree,Agree
11478461101,White,Female,45-54,Bachelor's Degree,Full Time Employee,35244,One to five years,Data Analytics manager,Mid level,"$150,000 or more",No,Yes,Finance & Financial Services,"More than 10,000 Employees",Agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree
11477913522,White,Female,35-44,Associate's Degree,Full Time Employee,61938,Ten years or more,PACU RN,Mid level,"$60,000 to $69,999",No,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree
11477820313,White,Male,18-24,High School Diploma/GED,Full Time Employee,35091,One to five years,Carpenter,Mid level,"$30,000 to $39,999",No,No,"Construction, Machinery, and Homes",Less than 50 Employees,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree
11477742320,White,Female,35-44,Bachelor's Degree,Part Time Employee,39211,Five to ten years,Business owner/Occupational therapy assistant,Mid level,"$50,000 to $59,999",No Answer,,Education,Less than 50 Employees,Agree,Agree,Agree,Agree,Somewhat disagree,Agree
11477538254,White,Female,55-64,Associate's Degree,Full Time Employee,61530,Ten years or more,Paralegsl,Senior level,"$60,000 to $69,999",No Answer,Yes,Legal Services,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11477221819,Hispanic/Latino,Female,55-64,Bachelor's Degree,Full Time Employee,90032,Ten years or more,Supervisor,"C Suite (CEO, CFO, COO, CTO, CSO)","$40,000 to $49,999",Yes,Yes,Child Day Care Services,Less than 50 Employees,Somewhat agree,Somewhat disagree,Agree,Strongly disagree,Strongly disagree,Somewhat disagree
11477094907,Black/African American,Female,45-54,Master's Degree or Higher,Full Time Employee,35233,One to five years,Patient Representative,Mid level,"$50,000 to $59,999",No,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Strongly agree,Somewhat agree,Disagree,Disagree,Agree,Somewhat disagree
11477084777,White,Female,45-54,Associate's Degree,Full Time Employee,35124,Ten years or more,Licensed Veterinary Technician,Mid level,"$30,000 to $39,999",Yes,Yes,Veterinary,Less than 50 Employees,Disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree
11476709394,Black/African American,Male,35-44,Some College,Full Time Employee,35022,One to five years,General warehouse associate,Entry level,"$40,000 to $49,999",Yes,Yes,Retail & Consumer Durables,"1,000 to 10,000 Employees",Somewhat disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat agree
11476538825,White,Male,35-44,Associate's Degree,Full Time Employee,35079,Less than one year,Resident Assistant,Entry level,"$10,000 to $19,999",No,Yes,Nonprofit,50 to 250 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11476195152,Black/African American,Male,35-44,Some High School,Full Time Employee,35235,Ten years or more,Pitman,Senior level,"$30,000 to $39,999",Yes,No,Food & Beverages,50 to 250 Employees,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat disagree
11476130971,White,Female,25-34,Bachelor's Degree,Full Time Employee,35203,Less than one year,Business Intelligence Supervisor,Mid level,Prefer not to answer,Yes,Yes,Healthcare & Pharmaceuticals,"250 to 1,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree
11476109878,Black/African American,Female,45-54,Bachelor's Degree,Full Time Employee,35203,Five to ten years,CFO,"C Suite (CEO, CFO, COO, CTO, CSO)","$60,000 to $69,999",Yes,Yes,Nonprofit,Less than 50 Employees,Agree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Agree
11476055227,Hispanic/Latino,Female,25-34,Bachelor's Degree,Full Time Employee,60606,One to five years,Forensic Accountant,Mid level,"$70,000 to $79,999",Yes,Yes,Government,"More than 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11474000078,Black/African American,Female,25-34,Master's Degree or Higher,Long Term Contract Employee,28791,One to five years,Public Relations Contractor,Mid level,"$20,000 to $29,999",No Answer,Yes,Social/Public Services,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
11473826145,White,Female,25-34,Master's Degree or Higher,Full Time Employee,35216,Five to ten years,Teacher,Mid level,"$50,000 to $59,999",No,No,Education,"1,000 to 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
11473691848,Asian,Male,35-44,Bachelor's Degree,Full Time Employee,35226,Five to ten years,Respiratory therapist,Senior level,"$50,000 to $59,999",No,Yes,Healthcare & Pharmaceuticals,"More than 10,000 Employees",Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree
11473684483,White,Male,55-64,Master's Degree or Higher,Full Time Employee,35205,Ten years or more,Surgical Assistant,Senior level,"$100,000 to $149,999",No,Yes,Healthcare & Pharmaceuticals,Less than 50 Employees,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree
11473337556,White,Female,45-54,Some College,Full Time Employee,35244,One to five years,Office manager,Senior level,"$30,000 to $39,999",No Answer,Yes,Electrical engineering,Less than 50 Employees,Strongly agree,Agree,Neither agree nor disagree,,Strongly agree,Neither agree nor disagree
11473312190,White,Female,25-34,Master's Degree or Higher,Full Time Employee,35007,One to five years,High school science teacher,Entry level,"$40,000 to $49,999",No,Yes,Education,50 to 250 Employees,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree
11473214039,White,Female,25-34,Master's Degree or Higher,Full Time Employee,35244,One to five years,Strategy Consultant,Senior level,"$80,000 to $89,999",Yes,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree
11472887040,White,Female,45-54,Master's Degree or Higher,Full Time Employee,35242,One to five years,Chief Communications Officer,"C Suite (CEO, CFO, COO, CTO, CSO)","$70,000 to $79,999",Yes,Yes,Social/Public Services,Less than 50 Employees,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11472827048,White,Male,55-64,Associate's Degree,Self Employed/Entrepreneur,32550,Less than one year,Retired,Senior level,"$150,000 or more",Yes,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
11472739335,Black/African American,Female,25-34,Master's Degree or Higher,Full Time Employee,36104,One to five years,Associate attorney,Mid level,"$70,000 to $79,999",No,Yes,,,,,,,,
11471980053,White,Female,18-24,Some College,Part Time Employee,35501,One to five years,Scribe,Entry level,"$20,000 to $29,999",No,Yes,Healthcare & Pharmaceuticals,"More than 10,000 Employees",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
11471884231,Black/African American,Female,25-34,Master's Degree or Higher,Full Time Employee,35216,Five to ten years,Mental Health Therapist,Mid level,"$40,000 to $49,999",Yes,Yes,Social/Public Services,50 to 250 Employees,Agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree
11471883878,Black and white,Female,18-24,Some College,Full Time Employee,35630,One to five years,Preschool Teacher,Entry level,"$10,000 to $19,999",No,Yes,Child Day Care Services,50 to 250 Employees,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree
11471717433,Black/African American,Female,25-34,Master's Degree or Higher,Part Time Employee,35068,One to five years,Executive Director,Staff of 1...hard to say. Senior in theory.,"$10,000 to $19,999",No,No,Social/Public Services,Less than 50 Employees,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11471683008,Multiracial/Multiethnic,Female,18-24,Bachelor's Degree,Full Time Employee,35209,Less than one year,Medical Assistant/Scribe,Entry level,"$30,000 to $39,999",Yes,Yes,Healthcare & Pharmaceuticals,"More than 10,000 Employees",Agree,Strongly agree,Strongly agree,Agree,Agree,Agree
11471671129,White,Female,25-34,High School Diploma/GED,Full Time Employee,35603,Less than one year,Pizza Hut General Manager,Mid level,"$30,000 to $39,999",Yes,Yes,Food & Beverages,"More than 10,000 Employees",Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Disagree
11471667332,White,Female,55-64,Bachelor's Degree,Temporary/Seasonal,37240,Less than one year,Admissions Evaluator,Entry level,"Less than $10,000",No,No,Education,"1,000 to 10,000 Employees",Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree
11471664506,White,Male,35-44,Some College,Self Employed/Entrepreneur,35203,Five to ten years,CEO,"C Suite (CEO, CFO, COO, CTO, CSO)","$50,000 to $59,999",No Answer,No,Advertising & Marketing,Less than 50 Employees,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree
11471650724,White,Female,18-24,High School Diploma/GED,Full Time Employee,35242,One to five years,Administrative Coordinator,Entry level,"$20,000 to $29,999",Yes,Yes,Social/Public Services,50 to 250 Employees,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree
11471648577,Native American/Alaska Native,Female,35-44,Bachelor's Degree,Full Time Employee,35244,One to five years,Dance Educator - Department Director,Mid level,"$50,000 to $59,999",Yes,No,Education,"1,000 to 10,000 Employees",Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree
11471643840,White,Female,25-34,Bachelor's Degree,Full Time Employee,98208,One to five years,Environmental Health Specialist,Mid level,"$60,000 to $69,999",Yes,No,Social/Public Services,50 to 250 Employees,Agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree
11471622327,White,Female,35-44,Master's Degree or Higher,Full Time Employee,35233,Five to ten years,Coordinator,Mid level,"$50,000 to $59,999",Yes,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
11471602497,Black/African American,Female,55-64,Bachelor's Degree,Full Time Employee,35214,Ten years or more,Unit secretary,Senior level,"$40,000 to $49,999",No Answer,Yes,Healthcare & Pharmaceuticals,"1,000 to 10,000 Employees",Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree
11471595633,White,Female,45-54,High School Diploma/GED,Self Employed/Entrepreneur,35216,Ten years or more,President/CEO,"C Suite (CEO, CFO, COO, CTO, CSO)","$100,000 to $149,999",No Answer,No,Home service,Less than 50 Employees,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
11471588898,White,Female,25-34,Bachelor's Degree,Full Time Employee,35244,Five to ten years,Director of International Programs,Mid level,"$20,000 to $29,999",Yes,No,Nonprofit,Less than 50 Employees,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree
